,Z,mass,weight,ratio
H,1,,1.00794,1
H1,1,1,1.0078250321,0.999885
H2,1,2,2.014101778,0.000115
He,2,,4.002602,1
He3,2,3,3.0160293097,1.37e-006
He4,2,4,4.0026032497,0.999999
Li,3,,6.941,1
Li6,3,6,6.0151223,0.0759
Li7,3,7,7.016004,0.9241
Be,4,,9.01218,1
Be9,4,9,9.0121821,1
B,5,,10.811,1
B10,5,10,10.012937,0.199
B11,5,11,11.0093055,0.801
C,6,,12.011,1
C12,6,12,12.0,0.9893
C13,6,13,13.0033548378,0.0107
N,7,,14.00674,1
N14,7,14,14.0030740052,0.99632
N15,7,15,15.0001088984,0.00368
O,8,,15.9994,1
O16,8,16,15.9949146221,0.99757
O17,8,17,16.9991315,0.00038
O18,8,18,17.9991604,0.00205
F,9,,18.998403,1
F19,9,19,18.9984032,1
Ne,10,,20.1797,1
Ne20,10,20,19.9924401759,0.9048
Ne21,10,21,20.99384674,0.0027
Ne22,10,22,21.99138551,0.0925
Na,11,,22.989768,1
Na23,11,23,22.98976967,1
Mg,12,,24.305,1
Mg24,12,24,23.9850419,0.7899
Mg25,12,25,24.98583702,0.1
Mg26,12,26,25.98259304,0.1101
Al,13,,26.981539,1
Al27,13,27,26.98153844,1
Si,14,,28.0855,1
Si28,14,28,27.9769265327,0.922297
Si29,14,29,28.97649472,0.046832
Si30,14,30,29.97377022,0.030872
P,15,,30.973762,1
P31,15,31,30.97376151,1
S,16,,32.066,1
S32,16,32,31.97207069,0.9493
S33,16,33,32.9714585,0.0076
S34,16,34,33.96786683,0.0429
S36,16,36,35.96708088,0.0002
Cl,17,,35.4527,1
Cl35,17,35,34.96885271,0.7578
Cl37,17,37,36.9659026,0.2422
Ar,18,,39.948,1
Ar36,18,36,35.96754628,0.003365
Ar38,18,38,37.9627322,0.000632
Ar40,18,40,39.962383123,0.996003
K,19,,39.0983,1
K39,19,39,38.9637069,0.932581
K40,19,40,39.96399867,0.000117
K41,19,41,40.96182597,0.067302
Ca,20,,40.078,1
Ca40,20,40,39.9625912,0.96941
Ca42,20,42,41.9586183,0.00647
Ca43,20,43,42.9587668,0.00135
Ca44,20,44,43.9554811,0.02086
Ca46,20,46,45.9536928,4e-005
Ca48,20,48,47.952534,0.00187
Sc,21,,44.95591,1
Sc45,21,45,44.9559102,1
Ti,22,,47.88,1
Ti46,22,46,45.9526295,0.0825
Ti47,22,47,46.9517638,0.0744
Ti48,22,48,47.9479471,0.7372
Ti49,22,49,48.9478708,0.0541
Ti50,22,50,49.9447921,0.0518
V,23,,50.9415,1
V50,23,50,49.9471628,0.0025
V51,23,51,50.9439637,0.9975
Cr,24,,51.9961,1
Cr50,24,50,49.9460496,0.04345
Cr52,24,52,51.9405119,0.83789
Cr53,24,53,52.9406538,0.09501
Cr54,24,54,53.9388849,0.02365
Mn,25,,54.93805,1
Mn55,25,55,54.9380496,1
Fe,26,,55.847,1
Fe54,26,54,53.9396148,0.05845
Fe56,26,56,55.9349421,0.91754
Fe57,26,57,56.9353987,0.02119
Fe58,26,58,57.9332805,0.00282
Co,27,,58.9332,1
Co59,27,59,58.9332002,1
Ni,28,,58.6934,1
Ni58,28,58,57.9353479,0.680769
Ni60,28,60,59.9307906,0.262231
Ni61,28,61,60.9310604,0.011399
Ni62,28,62,61.9283488,0.036345
Ni64,28,64,63.9279696,0.009256
Cu,29,,63.546,1
Cu63,29,63,62.9296011,0.6917
Cu65,29,65,64.9277937,0.3083
Zn,30,,65.39,1
Zn64,30,64,63.9291466,0.4863
Zn66,30,66,65.9260368,0.279
Zn67,30,67,66.9271309,0.041
Zn68,30,68,67.9248476,0.1875
Zn70,30,70,69.925325,0.0062
Ga,31,,69.723,1
Ga69,31,69,68.925581,0.60108
Ga71,31,71,70.924705,0.39892
Ge,32,,72.61,1
Ge70,32,70,69.9242504,0.2084
Ge72,32,72,71.9220762,0.2754
Ge73,32,73,72.9234594,0.0773
Ge74,32,74,73.9211782,0.3628
Ge76,32,76,75.9214027,0.0761
As,33,,74.92159,1
As75,33,75,74.9215964,1
Se,34,,78.96,1
Se74,34,74,73.9224766,0.0089
Se76,34,76,75.9192141,0.0937
Se77,34,77,76.9199146,0.0763
Se78,34,78,77.9173095,0.2377
Se80,34,80,79.9165218,0.4961
Se82,34,82,81.9167,0.0873
Br,35,,79.904,1
Br79,35,79,78.9183376,0.5069
Br81,35,81,80.916291,0.4931
Kr,36,,83.8,1
Kr78,36,78,77.920386,0.0035
Kr80,36,80,79.916378,0.0228
Kr82,36,82,81.9134846,0.1158
Kr83,36,83,82.914136,0.1149
Kr84,36,84,83.911507,0.57
Kr86,36,86,85.9106103,0.173
Rb,37,,85.4678,1
Rb85,37,85,84.9117893,0.7217
Rb87,37,87,86.9091835,0.2783
Sr,38,,87.62,1
Sr84,38,84,83.913425,0.0056
Sr86,38,86,85.9092624,0.0986
Sr87,38,87,86.9088793,0.07
Sr88,38,88,87.9056143,0.8258
Y,39,,88.90585,1
Y89,39,89,88.9058479,1
Zr,40,,91.224,1
Zr90,40,90,89.9047037,0.5145
Zr91,40,91,90.905645,0.1122
Zr92,40,92,91.9050401,0.1715
Zr94,40,94,93.9063158,0.1738
Zr96,40,96,95.908276,0.028
Nb,41,,92.90638,1
Nb93,41,93,92.9063775,1
Mo,42,,95.94,1
Mo92,42,92,91.90681,0.1484
Mo94,42,94,93.9050876,0.0925
Mo95,42,95,94.9058415,0.1592
Mo96,42,96,95.9046789,0.1668
Mo97,42,97,96.906021,0.0955
Mo98,42,98,97.9054078,0.2413
Mo100,42,100,99.907477,0.0963
Ru,44,,101.07,1
Ru96,44,96,95.907598,0.0554
Ru98,44,98,97.905287,0.0187
Ru99,44,99,98.9059393,0.1276
Ru100,44,100,99.9042197,0.126
Ru101,44,101,100.9055822,0.1706
Ru102,44,102,101.9043495,0.3155
Ru104,44,104,103.90543,0.1862
Rh,45,,102.9055,1
Rh103,45,103,102.905504,1
Pd,46,,106.42,1
Pd102,46,102,101.905608,0.0102
Pd104,46,104,103.904035,0.1114
Pd105,46,105,104.905084,0.2233
Pd106,46,106,105.903483,0.2733
Pd108,46,108,107.903894,0.2646
Pd110,46,110,109.905152,0.1172
Ag,47,,107.8682,1
Ag107,47,107,106.905093,0.51839
Ag109,47,109,108.904756,0.48161
Cd,48,,112.411,1
