ref_cpx_klb1@1:12/28/2016 05:35:05 AM;
Software:Name=Qtegra;Version=2.4.1800.33;File Version=1;
Configuration:Machine=iCAP Q;
Laser:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-56;Angular Deflection=-275;Deflection Entry Lens=-35;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=40;Cool Flow=14;Sampling Depth=6.41348973607038;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=1.02188644688645;Torch Horizontal Position=-0.227565982404692;Torch Vertical Position=0.000107526881718986;Extraction Lens 2=-209.304029304029;CCT Focus Lens=2.22564102564103;CCT Bias=-2.00854700854701;CCT Exit Lens=-160.01221001221;Focus Lens=20.0990099009901;D1 Lens=-192.039072039072;D2 Lens=-80;Quad Entry Lens=-25.2014652014652;Pole Bias=-1.00019836728466;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-220.003337863291;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.0752688172043;Torch Horizontal Position Readback=-0.21642228739003;Torch Vertical Position Readback=0.0263929618768328;Sampling Depth Readback=6.425;Extraction Lens 1 Negative Readback=-199.41348973607;Extraction Lens 1 Positive Readback=-0.0146627565982405;Extraction Lens 2 Readback=-208.211143695015;Angular Deflection Readback=-277.712609970674;Quad Entry Lens Readback=-25.1221896383187;Focus Lens Readback=19.9462365591398;D2 Lens Readback=-79.1788856304985;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.7214076246334;D1 Lens Readback=-191.593352883675;CCT Exit Lens Readback=-159.579667644184;CCT Bias Readback=-2.63440860215054;CCT Entry Lens Readback=-56.4516129032258;CCT Focus Lens Readback=2.08699902248289;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.07122263692432;Analyzer Pressure Readback=5.78062217507179E-07;
Detector:Detector Voltage (Counting) Readback=1153.47018572825;Detector Voltage (Analog) Readback=-1970.67448680352;
Cooling System:Plasma Cooling Water Flow Readback=3.27529411764706;Interface Temperature Readback=36.9620680891376;Exhaust Flow Readback=0.393627565982405;Quad Board Temperature Readback=35.6177908113392;Inlet Fan Speed Readback=2376.47058823529;Outlet Fan Speed Readback=2282.35294117647;Peltier Temperature Hot Side Readback=20.3083982259398;Spray Chamber Temperature Readback=2.7058192015936;
Power Supply:Supply Voltage 500 V Readback=-538.245356793744;Supply Voltage 1 kV Readback=-1163.24535679374;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=1.01026392961877;Cool Flow Readback=13.919843597263;Auxilliary Flow Readback=0.777126099706745;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.77517106549365;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,7Li,11B,29Si,42Ca,44Ca,85Rb,88Sr,89Y,90Zr,93Nb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,151Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,208Pb,232Th,238U,
,dwell time=0.006;xcal factor=56586.20358,dwell time=0.012;xcal factor=60319.88837,dwell time=0.003;xcal factor=71649.88594,dwell time=0.003;xcal factor=79832.66195,dwell time=0.003;xcal factor=81091.55057,dwell time=0.006;xcal factor=89293.89879,dwell time=0.003;xcal factor=88491.48816,dwell time=0.003;xcal factor=89195.71557,dwell time=0.003;xcal factor=89899.94298,dwell time=0.003;xcal factor=92012.62522,dwell time=0.003;xcal factor=103362.75024,dwell time=0.003;xcal factor=100554.72572,dwell time=0.006;xcal factor=99150.71346,dwell time=0.006;xcal factor=99486.84818,dwell time=0.006;xcal factor=99822.9829,dwell time=0.006;xcal factor=101503.6565,dwell time=0.006;xcal factor=101839.79122,dwell time=0.006;xcal factor=103184.3301,dwell time=0.006;xcal factor=105201.13842,dwell time=0.006;xcal factor=105878.42366,dwell time=0.006;xcal factor=107243.02574,dwell time=0.006;xcal factor=107984.45754,dwell time=0.006;xcal factor=108384.73881,dwell time=0.006;xcal factor=109585.58264,dwell time=0.006;xcal factor=110786.42646,dwell time=0.006;xcal factor=111987.27028,dwell time=0.003;xcal factor=113188.11411,dwell time=0.006;xcal factor=120363.80399,dwell time=0.006;xcal factor=117016.24825,dwell time=0.006;xcal factor=116585.41218,
0.00924,0,1000.04000160006,43408.574863096,7335.48507562218,6668.44491864497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.20846,0,1750.1225085756,40064.1025641026,11004.8421305374,9336.81907912287,166.667777785185,0,0,0,333.337777837038,333.337777837038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.40767,0,500.010000200004,45750.2370997689,14341.5558253399,7001.96054895371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.60682,333.337777837038,1000.04000160006,39729.7044644169,5001.00020004001,7335.48507562218,166.667777785185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.80599,500.010000200004,1000.04000160006,42405.1393693321,9003.24116682005,8669.67215301304,333.337777837038,0,0,0,0,333.337777837038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.00526,500.010000200004,666.684444918531,40064.1025641026,8002.56081946223,9003.24116682005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.20438,500.010000200004,500.010000200004,39060.9350586916,4000.64010241639,6001.44034568296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.40357,166.667777785185,1833.46778763776,40398.5095954807,9336.81907912287,7001.96054895371,500.010000200004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.60278,333.337777837038,1166.72111365197,33043.6175751993,6334.93818434003,7335.48507562218,166.667777785185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.80193,666.684444918531,916.70027901023,48426.9587869882,10004.0016006403,7669.01849900636,666.684444918531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.00121,166.667777785185,1083.38027981213,34714.8045289468,11338.4734412934,9336.81907912287,333.337777837038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
